Année;Mois;Régularité composite en %;Période;Ponctualité origine en %
2015;5.0;91.3735101884;2015-05;85.04879495339999
2015;8.0;89.10212807309999;2015-08;82.23483195109999
2018;6.0;84.5;2018-06;77.60000000000001
2019;2.0;91.10000000000001;2019-02;84.89999999999999
2017;5.0;89.8918945848;2017-05;83.4941708038
2016;2.0;92.3334499475;2016-02;86.5954591209
2015;12.0;93.6659994281;2015-12;85.6952157198
2016;8.0;89.9230615508;2016-08;83.5511491663
2017;11.0;88.1789443433;2017-11;82.26164079819999
2018;11.0;88.1;2018-11;82.6
2017;6.0;85.3949630828;2017-06;78.6528967826
2016;7.0;87.3320158103;2016-07;80.5829044529
2017;4.0;89.7342499487;2017-04;83.7668316262
2018;1.0;90.0;2018-01;83.8
2018;5.0;88.2;2018-05;79.3
2019;4.0;91.7;2019-04;87.2
2017;3.0;91.5061165866;2017-03;85.1214349376
2016;6.0;85.0992613112;2016-06;78.1177381875
2016;1.0;92.6743075454;2016-01;87.10609384199999
2015;3.0;93.4217943714;2015-03;87.4532488904
2016;10.0;87.8646498379;2016-10;82.7967695542
2018;4.0;88.1;2018-04;79.80000000000001
2018;12.0;88.3;2018-12;81.89999999999999
2015;2.0;90.3256522567;2015-02;84.2481839532
2016;9.0;89.0775857801;2016-09;83.819761613
2019;6.0;87.3;2019-06;83.2
2018;7.0;81.69999999999999;2018-07;75.4
2018;8.0;87.4;2018-08;78.7
2015;11.0;90.9345975232;2015-11;85.54653679649999
2016;11.0;86.2249036707;2016-11;82.6000114136
2017;10.0;90.2027183745;2017-10;82.2094240838
2017;2.0;91.8443496802;2017-02;85.4146863118
2018;10.0;88.4;2018-10;82.69999999999999
2017;7.0;85.6090735013;2017-07;78.9578603466
2018;9.0;89.1;2018-09;81.69999999999999
2015;1.0;91.6273584906;2015-01;85.28053799060001
2015;6.0;87.6970855232;2015-06;82.6128825166
2019;1.0;91.4;2019-01;85.2
2015;4.0;90.8011729096;2015-04;85.3421750663
2015;7.0;84.8871536044;2015-07;79.819405856
2017;8.0;87.5234892691;2017-08;80.9953498671
2019;5.0;92.10000000000001;2019-05;88.9
2015;10.0;91.0139109327;2015-10;85.1243130071
2016;12.0;89.76953067170001;2016-12;83.6545404054
2018;2.0;88.5;2018-02;81.6
2016;4.0;92.1250752861;2016-04;84.2528089888
2018;3.0;90.60000000000001;2018-03;83.1
2019;3.0;91.8;2019-03;86.7
2016;5.0;89.7803199028;2016-05;83.89974031839999
2017;1.0;89.6662450131;2017-01;83.1715033821
2015;9.0;89.5458029897;2015-09;84.63810137460001
2017;9.0;88.7888942078;2017-09;80.732331308
2016;3.0;91.6297630055;2016-03;85.7578729432
2017;12.0;86.540369443;2017-12;78.5255218569
2019;7.0;88.4;2019-07;83.3
2019;9.0;91.372903485;2019-09;86.32730570829999
2019;8.0;90.7;2019-08;85.6
2019;10.0;89.443355314;2019-10;85.1043707357
2019;11.0;89.0049856794;2019-11;83.525890452
2020;1.0;89.6242875422;2020-01;84.7777777778
2020;4.0;85.2208835341;2020-04;73.5171261487
2019;12.0;85.8740301232;2019-12;81.32854578099999
2020;5.0;92.1221374046;2020-05;88.63097255170001
2020;2.0;90.3765476312;2020-02;85.2803872976
2020;3.0;86.9325307249;2020-03;84.9335440097
2020;8.0;91.054861986;2020-08;87.29827226120001
2020;9.0;92.5028708919;2020-09;89.31814027179999
2020;10.0;91.9429533733;2020-10;88.6230728336
2020;12.0;92.8295843343;2020-12;88.8096763858
2020;7.0;90.7586618877;2020-07;86.9659810127
2020;6.0;93.2071537413;2020-06;90.173670476
2020;11.0;93.5906465699;2020-11;90.3707194471
